step 0: train loss 4.1916, val loss 4.1901
iter 102: loss 3.4481, time 25785.04ms, mfu 0.03%
iter 103: loss 3.4300, time 25872.37ms, mfu 0.03%
iter 104: loss 3.4213, time 25898.64ms, mfu 0.03%
iter 105: loss 3.4159, time 25795.28ms, mfu 0.03%
iter 106: loss 3.4291, time 26067.23ms, mfu 0.03%
iter 107: loss 3.3933, time 25670.86ms, mfu 0.03%
iter 108: loss 3.4102, time 25581.61ms, mfu 0.03%
iter 109: loss 3.3952, time 25700.45ms, mfu 0.03%
iter 110: loss 3.3930, time 26050.91ms, mfu 0.03%
iter 111: loss 3.3988, time 25931.10ms, mfu 0.03%
iter 112: loss 3.3902, time 25622.57ms, mfu 0.03%
iter 113: loss 3.3872, time 25559.92ms, mfu 0.03%
iter 114: loss 3.3785, time 25864.26ms, mfu 0.03%
iter 115: loss 3.3438, time 25910.96ms, mfu 0.03%
iter 116: loss 3.3581, time 25677.54ms, mfu 0.03%
iter 117: loss 3.3477, time 25379.22ms, mfu 0.03%
iter 118: loss 3.3651, time 25495.50ms, mfu 0.03%
iter 119: loss 3.3467, time 25710.51ms, mfu 0.03%
iter 120: loss 3.3409, time 25720.40ms, mfu 0.03%
iter 121: loss 3.3512, time 25738.42ms, mfu 0.03%
iter 122: loss 3.3312, time 25851.43ms, mfu 0.03%
iter 123: loss 3.3273, time 25692.94ms, mfu 0.03%
iter 124: loss 3.3426, time 25658.56ms, mfu 0.03%
iter 125: loss 3.3082, time 25520.16ms, mfu 0.03%
iter 126: loss 3.3096, time 25577.43ms, mfu 0.03%
iter 127: loss 3.3178, time 26071.08ms, mfu 0.03%
iter 128: loss 3.3065, time 25605.72ms, mfu 0.03%
iter 129: loss 3.3072, time 25449.71ms, mfu 0.03%
iter 130: loss 3.2997, time 26000.73ms, mfu 0.03%
iter 131: loss 3.2943, time 25672.99ms, mfu 0.03%
iter 132: loss 3.2821, time 25388.27ms, mfu 0.03%
iter 133: loss 3.2789, time 26111.19ms, mfu 0.03%
iter 134: loss 3.2796, time 25708.32ms, mfu 0.03%
iter 135: loss 3.2673, time 25706.90ms, mfu 0.03%
iter 136: loss 3.2744, time 25896.66ms, mfu 0.03%
iter 137: loss 3.2642, time 26001.16ms, mfu 0.03%
iter 138: loss 3.2619, time 25716.89ms, mfu 0.03%
iter 139: loss 3.2405, time 25765.90ms, mfu 0.03%
iter 140: loss 3.2559, time 25390.63ms, mfu 0.03%
iter 141: loss 3.2564, time 25956.08ms, mfu 0.03%
iter 142: loss 3.2424, time 25528.02ms, mfu 0.03%
iter 143: loss 3.2461, time 25482.55ms, mfu 0.03%
iter 144: loss 3.2128, time 25568.47ms, mfu 0.03%
iter 145: loss 3.2431, time 25801.61ms, mfu 0.03%
iter 146: loss 3.2363, time 25944.61ms, mfu 0.03%
iter 147: loss 3.2138, time 26051.55ms, mfu 0.03%
iter 148: loss 3.2411, time 27201.44ms, mfu 0.03%
iter 149: loss 3.2187, time 25892.69ms, mfu 0.03%
iter 150: loss 3.2162, time 25982.01ms, mfu 0.03%
iter 151: loss 3.2145, time 25670.71ms, mfu 0.03%
iter 152: loss 3.2026, time 26927.61ms, mfu 0.03%
iter 153: loss 3.2087, time 28355.12ms, mfu 0.03%
iter 154: loss 3.1983, time 25502.85ms, mfu 0.03%
iter 155: loss 3.1846, time 60097.75ms, mfu 0.02%
iter 156: loss 3.1866, time 73086.66ms, mfu 0.02%
iter 157: loss 3.1748, time 64473.27ms, mfu 0.02%
iter 158: loss 3.1891, time 64114.68ms, mfu 0.02%
iter 159: loss 3.1719, time 64495.12ms, mfu 0.02%
iter 160: loss 3.1757, time 88975.29ms, mfu 0.02%
iter 161: loss 3.1636, time 80936.07ms, mfu 0.02%
iter 162: loss 3.1673, time 74223.65ms, mfu 0.02%
iter 163: loss 3.1651, time 67503.30ms, mfu 0.02%
iter 164: loss 3.1614, time 79888.73ms, mfu 0.01%
iter 165: loss 3.1590, time 72124.81ms, mfu 0.01%
iter 166: loss 3.1384, time 67966.58ms, mfu 0.01%
iter 167: loss 3.1454, time 26196.20ms, mfu 0.02%
iter 168: loss 3.1487, time 27999.83ms, mfu 0.02%
iter 169: loss 3.1302, time 22868.11ms, mfu 0.02%
iter 170: loss 3.1258, time 24127.80ms, mfu 0.02%
iter 171: loss 3.1443, time 24080.61ms, mfu 0.02%
iter 172: loss 3.1318, time 24098.92ms, mfu 0.02%
iter 173: loss 3.1180, time 24624.16ms, mfu 0.02%
iter 174: loss 3.1076, time 24277.40ms, mfu 0.02%
iter 175: loss 3.1113, time 27875.00ms, mfu 0.02%
iter 176: loss 3.1096, time 24805.40ms, mfu 0.02%
iter 177: loss 3.1115, time 25266.59ms, mfu 0.02%
iter 178: loss 3.1020, time 22300.85ms, mfu 0.02%
iter 179: loss 3.1059, time 23029.81ms, mfu 0.02%
iter 180: loss 3.1066, time 22184.62ms, mfu 0.02%
iter 181: loss 3.0864, time 22122.95ms, mfu 0.03%
iter 182: loss 3.0722, time 22300.82ms, mfu 0.03%
iter 183: loss 3.0781, time 22135.27ms, mfu 0.03%
iter 184: loss 3.0801, time 22208.29ms, mfu 0.03%
iter 185: loss 3.0707, time 22278.53ms, mfu 0.03%
iter 186: loss 3.0664, time 22230.81ms, mfu 0.03%
iter 187: loss 3.0762, time 22721.59ms, mfu 0.03%
iter 188: loss 3.0650, time 22624.72ms, mfu 0.03%
iter 189: loss 3.0630, time 22969.94ms, mfu 0.03%
iter 190: loss 3.0552, time 22247.31ms, mfu 0.03%
iter 191: loss 3.0669, time 22190.31ms, mfu 0.03%
iter 192: loss 3.0558, time 25144.97ms, mfu 0.03%
iter 193: loss 3.0497, time 29406.25ms, mfu 0.03%
iter 194: loss 3.0524, time 27479.62ms, mfu 0.03%
iter 195: loss 3.0455, time 27990.28ms, mfu 0.03%
iter 196: loss 3.0333, time 25904.03ms, mfu 0.03%
iter 197: loss 3.0214, time 26468.79ms, mfu 0.03%
iter 198: loss 3.0365, time 26475.27ms, mfu 0.03%
iter 199: loss 3.0175, time 28102.13ms, mfu 0.03%
iter 200: loss 3.0065, time 27615.34ms, mfu 0.03%
iter 201: loss 3.0076, time 27698.91ms, mfu 0.03%
iter 202: loss 3.0542, time 27349.32ms, mfu 0.03%
iter 203: loss 3.0341, time 28163.45ms, mfu 0.03%
iter 204: loss 3.0013, time 27366.37ms, mfu 0.03%
iter 205: loss 3.0030, time 27785.94ms, mfu 0.03%
iter 206: loss 3.0128, time 26741.25ms, mfu 0.03%
iter 207: loss 2.9834, time 26966.54ms, mfu 0.03%
iter 208: loss 2.9854, time 24221.73ms, mfu 0.03%
iter 209: loss 3.0066, time 23773.20ms, mfu 0.03%
iter 210: loss 2.9889, time 28786.66ms, mfu 0.03%
iter 211: loss 2.9791, time 29281.15ms, mfu 0.03%
iter 212: loss 2.9864, time 28824.84ms, mfu 0.02%
iter 213: loss 2.9777, time 28391.55ms, mfu 0.02%
iter 214: loss 2.9732, time 29097.01ms, mfu 0.02%
iter 215: loss 2.9805, time 28591.40ms, mfu 0.02%
iter 216: loss 2.9331, time 28513.00ms, mfu 0.02%
iter 217: loss 2.9779, time 27291.53ms, mfu 0.02%
iter 218: loss 2.9545, time 27929.38ms, mfu 0.02%
iter 219: loss 2.9646, time 28725.74ms, mfu 0.02%
iter 220: loss 2.9439, time 28731.67ms, mfu 0.02%
iter 221: loss 2.9643, time 31682.73ms, mfu 0.02%
iter 222: loss 2.9469, time 31391.49ms, mfu 0.02%
iter 223: loss 2.9622, time 27690.27ms, mfu 0.02%
iter 224: loss 2.9473, time 28979.07ms, mfu 0.02%
iter 225: loss 2.9363, time 27488.57ms, mfu 0.02%
iter 226: loss 2.9228, time 27451.74ms, mfu 0.02%
iter 227: loss 2.9061, time 26668.70ms, mfu 0.02%
iter 228: loss 2.9297, time 26862.84ms, mfu 0.02%
iter 229: loss 2.9464, time 28718.25ms, mfu 0.02%
iter 230: loss 2.9210, time 26983.63ms, mfu 0.02%
iter 231: loss 2.9223, time 25559.44ms, mfu 0.02%
iter 232: loss 2.9011, time 23819.19ms, mfu 0.02%
iter 233: loss 2.9088, time 24537.86ms, mfu 0.02%
iter 234: loss 2.8967, time 26874.90ms, mfu 0.02%
iter 235: loss 2.9115, time 23242.74ms, mfu 0.03%
iter 236: loss 2.9097, time 23680.77ms, mfu 0.03%
iter 237: loss 2.9083, time 22867.43ms, mfu 0.03%
iter 238: loss 2.9079, time 24808.11ms, mfu 0.03%
iter 239: loss 2.8992, time 25322.34ms, mfu 0.03%
iter 240: loss 2.8639, time 28686.59ms, mfu 0.03%
iter 241: loss 2.8927, time 28918.92ms, mfu 0.03%
iter 242: loss 2.8831, time 26456.24ms, mfu 0.03%
iter 243: loss 2.8928, time 29096.80ms, mfu 0.03%
iter 244: loss 2.8751, time 27469.20ms, mfu 0.03%
iter 245: loss 2.8855, time 31855.68ms, mfu 0.02%
iter 246: loss 2.8568, time 27162.97ms, mfu 0.02%
iter 247: loss 2.8548, time 37945.09ms, mfu 0.02%
iter 248: loss 2.8591, time 43757.46ms, mfu 0.02%
iter 249: loss 2.8589, time 38971.88ms, mfu 0.02%
iter 250: loss 2.8569, time 33565.22ms, mfu 0.02%
iter 251: loss 2.8348, time 31905.32ms, mfu 0.02%
iter 252: loss 2.8527, time 27936.48ms, mfu 0.02%
iter 253: loss 2.8488, time 27070.14ms, mfu 0.02%
iter 254: loss 2.8402, time 34590.76ms, mfu 0.02%
iter 255: loss 2.8441, time 34166.70ms, mfu 0.02%
iter 256: loss 2.8149, time 33370.40ms, mfu 0.02%
iter 257: loss 2.8226, time 36289.07ms, mfu 0.02%
iter 258: loss 2.8560, time 34666.71ms, mfu 0.02%
iter 259: loss 2.8027, time 35779.65ms, mfu 0.02%
iter 260: loss 2.8407, time 31137.03ms, mfu 0.02%
iter 261: loss 2.8180, time 28585.12ms, mfu 0.02%
iter 262: loss 2.8275, time 32957.02ms, mfu 0.02%
iter 263: loss 2.8272, time 33613.34ms, mfu 0.02%
iter 264: loss 2.8241, time 34707.13ms, mfu 0.02%
iter 265: loss 2.8045, time 33958.05ms, mfu 0.02%
iter 266: loss 2.8211, time 30004.55ms, mfu 0.02%
iter 267: loss 2.7911, time 30538.47ms, mfu 0.02%
iter 268: loss 2.8123, time 29701.69ms, mfu 0.02%
iter 269: loss 2.8086, time 30276.65ms, mfu 0.02%
iter 270: loss 2.8061, time 34579.76ms, mfu 0.02%
iter 271: loss 2.8188, time 31317.93ms, mfu 0.02%
iter 272: loss 2.7863, time 34744.45ms, mfu 0.02%
iter 273: loss 2.7844, time 31454.51ms, mfu 0.02%
iter 274: loss 2.7623, time 31184.24ms, mfu 0.02%
iter 275: loss 2.7921, time 28008.08ms, mfu 0.02%
iter 276: loss 2.7858, time 28016.16ms, mfu 0.02%
iter 277: loss 2.7917, time 27684.75ms, mfu 0.02%
iter 278: loss 2.7658, time 27576.96ms, mfu 0.02%
iter 279: loss 2.7556, time 30779.21ms, mfu 0.02%
iter 280: loss 2.7713, time 32781.38ms, mfu 0.02%
iter 281: loss 2.7791, time 24547.98ms, mfu 0.02%
iter 282: loss 2.7777, time 23484.50ms, mfu 0.02%
iter 283: loss 2.7754, time 23637.10ms, mfu 0.02%
iter 284: loss 2.7768, time 23108.78ms, mfu 0.02%
iter 285: loss 2.7698, time 27103.81ms, mfu 0.02%
iter 286: loss 2.7510, time 27288.59ms, mfu 0.02%
iter 287: loss 2.7707, time 26556.79ms, mfu 0.02%
iter 288: loss 2.7538, time 26863.20ms, mfu 0.02%
iter 289: loss 2.7624, time 25301.11ms, mfu 0.02%
iter 290: loss 2.7559, time 23979.97ms, mfu 0.02%
iter 291: loss 2.7577, time 25013.56ms, mfu 0.02%
iter 292: loss 2.7393, time 29288.94ms, mfu 0.02%
iter 293: loss 2.7585, time 28109.96ms, mfu 0.02%
iter 294: loss 2.7638, time 26281.02ms, mfu 0.02%
iter 295: loss 2.7637, time 26201.64ms, mfu 0.02%
iter 296: loss 2.7313, time 25055.88ms, mfu 0.02%
iter 297: loss 2.7418, time 27475.57ms, mfu 0.02%
iter 298: loss 2.7306, time 27710.24ms, mfu 0.02%
iter 299: loss 2.7167, time 27853.99ms, mfu 0.02%
